appid,hw_ram_gb,hw_storage_gb,hw_has_gpu_req,parse_success
428660,4.0,10.0,1,True
433530,4.0,10.0,1,True
589780,1.0,0.391,1,True
1216320,6.0,8.0,1,True
785740,2.0,4.0,1,True
1120320,6.0,1.0,1,True
503350,2.0,1.0,1,True
239840,2.0,3.0,1,True
435400,2.0,0.293,0,False
1109680,8.0,15.0,1,True
1239320,8.0,6.0,1,True
1146630,4.0,1.0,1,True
844260,8.0,5.0,1,True
2638370,8.0,3.0,1,True
732690,8.0,11.0,1,True
1978590,8.0,15.0,1,True
914800,2.0,0.586,0,True
1227280,4.0,2.0,1,True
1785150,8.0,15.0,1,True
520950,8.0,20.0,0,True
22100,0.5,0.684,1,True
1063660,8.0,15.0,1,True
596970,4.0,4.395,1,True
471010,4.0,10.0,1,True
595690,2.0,0.244,1,True
1240210,4.0,0.928,1,True
873940,4.0,2.0,1,True
1745510,0.004,0.781,0,True
1627570,8.0,27.0,1,True
965580,2.0,1.0,1,True
703700,0.5,1.0,0,True
814540,2.0,1.0,0,False
1410710,4.0,0.781,1,True
2111190,8.0,5.0,1,True
677160,8.0,10.0,1,True
651670,4.0,5.0,1,True
617160,4.0,11.0,1,True
816340,1.0,0.488,0,True
1231560,2.0,0.342,0,True
1390350,1.0,0.244,0,True
314660,4.0,10.0,1,True
242840,2.0,4.0,1,True
1504500,4.0,4.0,1,True
2695940,8.0,13.0,1,True
38720,1.0,0.391,1,True
1220010,4.0,4.0,0,True
2195410,8.0,10.0,1,True
1684170,3.0,3.0,0,True
239350,2.0,0.195,1,True
469820,4.0,0.488,0,True
1585220,4.0,2.0,0,True
245470,1.0,0.488,0,True
417880,4.0,8.0,1,True
1195290,6.0,2.441,1,True
537110,2.0,1.0,0,True
1280930,2.0,1.0,1,True
1179080,2.0,0.781,1,True
2666510,4.0,0.25,1,True
714120,8.0,8.0,0,True
418530,4.0,0.586,1,True
402180,1.0,0.195,0,True
938560,1.0,2.0,1,True
1123050,4.0,5.0,1,True
208140,2.0,2.0,0,True
40800,1.0,0.293,1,True
525510,4.0,2.0,1,True
300570,2.0,1.465,0,True
1981820,4.0,2.0,1,True
288160,2.0,1.0,1,True
686200,0.5,0.098,1,True
359310,4.0,0.781,1,True
1793250,2.0,1.0,0,True
360830,8.0,9.0,1,True
274900,1.0,0.244,1,True
939600,1.0,6.0,0,True
617480,8.0,12.0,1,True
296970,4.0,1.0,1,True
1083880,0.5,1.0,0,True
846470,8.0,12.0,1,True
1123830,8.0,8.0,1,True
598700,4.0,1.172,1,True
342380,1.0,0.195,0,True
236090,1.0,1.5,1,True
1092660,4.0,16.0,1,True
448280,4.0,1.0,1,True
461950,2.0,1.0,1,True
1497440,6.0,3.0,1,True
523650,8.0,15.0,1,True
1267910,0.5,0.195,0,True
250620,2.0,2.0,1,True
2849080,4.0,1.0,0,True
1062160,4.0,0.488,1,True
753420,1.0,0.391,1,True
1173220,8.0,20.0,1,True
241600,1.0,0.391,1,True
1458100,4.0,3.0,1,True
416210,4.0,1.0,1,True
2291680,2.0,2.0,0,True
486310,4.0,2.0,1,True
397060,4.0,2.0,0,True
569860,4.0,1.0,1,True
344850,4.0,2.0,1,True
1747760,4.0,1.5,1,True
215530,2.0,20.0,1,True
484900,4.0,25.0,1,True
1328350,8.0,5.0,1,True
1454400,0.5,0.342,0,True
861540,4.0,1.0,1,True
698640,4.0,4.0,1,True
95400,0.5,0.83,0,True
471550,4.0,7.0,1,True
