appid,min_text,hw_ram_gb,hw_storage_gb
1184420, Minimum:     OS:  WIN7 SP1/WIN8/WIN10    Processor:  1.3GHz and above    Graphics:  Integrated graphics    DirectX:  Version 9.0c    Storage:  2000 MB available space    Sound Card:  Onboard sound  ,2.0,1.953
320330, Minimum:     OS *:  Windows XP SP3 / Vista / 7 / 8    Processor:  Core 2 Duo 2.0GHz    Graphics:  GeForce 9800GT or better w /512MB VRAM    DirectX:  Version 9.0c    Storage:  3000 MB available space    Sound Card:  OpenAL compatible    Additional Notes:  IMPORTANT: Game was designed for 16:9 monitors 4:3 format is not supported  ,2.0,2.93
464650, Minimum:     OS *:  Windows XP SP2+    Processor:  SSE2 instruction set support    Graphics:  DX9 (shader model 3.0) or DX11 with feature level 9.3 capabilities    Storage:  1037 MB available space  ,2.0,1.013
3338380, Minimum:     OS *:  Windows® 7/8/8.1/10/11    Processor:  Intel Core2 Duo or better    Graphics:  DirectX 9/OpenGL 4.1 capable GPU    Storage:  2 GB available space  ,2.0,2.0
1714550, Minimum:     OS *:  Windows® 7 (SP1) / Windows® 8 / Windows® 8.1    Processor:  2.6 GHz Intel® Core™ i5-750 or 3.2 GHz AMD Phenom™ II X4 955    Graphics:  NVIDIA GeForce GTX 460 or AMD Radeon HD5850 (1 GB VRAM)    Sound Card:  DirectX 11 sound device  ,2.0,1.0
457320, Minimum:     OS *:  Windows 7    Processor:  i5-2500k    Graphics:  GTX 780    VR Support:  SteamVR or Oculus PC. Room Scale 2m by 1.5m area required  ,2.0,1.0
2402280, Minimum:    Requires a 64-bit processor and operating system    OS:  7  ,2.0,1.0
395270, Minimum:     OS *:  Windows XP or better    Processor:  Intel i3 or better    Graphics:  AMD 6870 or equivalent    DirectX:  Version 9.0  ,2.0,1.0
1083760, Minimum:     DirectX:  Version 9.0    Storage:  50 MB available space  ,2.0,0.049
1836030, Minimum:    Requires a 64-bit processor and operating system    OS *:  Windows 7+64位系统  ,2.0,1.0
3132310, Minimum:     OS *:  Windows® 7/8/8.1/10/11    Processor:  Intel Core2 Duo or better    Graphics:  DirectX 9/OpenGL 4.1 capable GPU    Storage:  2 GB available space  ,2.0,2.0
1112340, Minimum:     OS *:  Windows 7 or higher    Processor:  Intel Core i3    Graphics:  dedicated graphics card (opengl 3.0 support or higher)    Storage:  6 GB available space  ,2.0,6.0
1299400, Minimum:    Requires a 64-bit processor and operating system    Storage:  20 MB available space  ,2.0,0.02
451640, Minimum:     OS *:  Windows XP and newer    Processor:  1Ghz    Graphics:  DirectX or OpenGL compatible card    Storage:  100 MB available space  ,2.0,0.098
724740, Minimum:     OS *:  Windows 7+  ,2.0,1.0
1747300, Minimum:     OS *:  Windows® 7/8/10/11 (32bit/64bit)    Storage:  1500 MB available space  ,2.0,1.465
654900," Minimum:     OS *:  Windows XP, 7, Vista, 8, 8.1, 10    Processor:  Intel Celeron 1800 MHz    Graphics:  Intel HD Graphics    DirectX:  Version 9.0    Storage:  10 MB available space  ",2.0,0.01
1489590, Minimum:     OS *:  Windows XP or later    Processor:  1 GHz    Graphics:  256 MB or higher    DirectX:  Version 9.0    Storage:  100 MB available space    Sound Card:  any  ,2.0,0.098
379530," Minimum:     OS *:  Windows XP or better    Processor:  2.33GHz or faster x86-compatible processor, or Intel Atom™ 1.6GHz or faster processor for netbook class devices    Storage:  100 MB available space  ",2.0,0.098
2017340, Minimum:     OS *:  Windows 7    Processor:  2.0GHz Core 2 Duo    Graphics:  OpenGL 2.0 or DirectX 9.0c compatible    DirectX:  Version 10    Storage:  4000 MB available space    Sound Card:  Any onboard  ,2.0,3.906
